"id","value","count","huc12_name","filename","land_policy","accretion","slr_scenario","yr","acres"
"031001011108",1800,5025.23780866904,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",4.96705560532027
"031001011108",5200,12.0119634978473,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",0.0118728889844692
"031001011108",5400,2206223.25529529,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2180.67960244548
"031001011108",6120,9310.47681493613,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",9.2026801143728
"031001011108",6420,290.86443811655,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",0.287496809652037
"031001011108",6425,3762.30686868238,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",3.71874687975678
"031001011108",6510,736.980983508663,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",0.7284482176816
"031001011108",6600,663.542772948742,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",0.655860274723541
"031001011108",9113,568143.552450121,"Alligator Bay-Peace River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",561.565586399854
"031001020101",1100,2642808.23340274,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2612.2097996764
"031001020101",1200,3690755.89195968,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",3648.02432024257
"031001020101",1800,138475,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",136.87173645
"031001020101",1900,1091147.97652265,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1078.51466525047
"031001020101",2100,4073138.2745912,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",4025.97947964798
"031001020101",2200,91536,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",90.476196192
"031001020101",2400,35549.0130881169,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",35.1374266145827
"031001020101",3200,2411819.45119954,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2383.89540559355
"031001020101",4100,1976810.26480773,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1953.92275556179
"031001020101",4400,5731.78885567903,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",5.66542620430798
"031001020101",5200,63511.1649211908,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",62.7758326537333
"031001020101",6110,1477144.77773996,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1460.04239550329
"031001020101",6410,795522.318672875,"Wingate Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",786.311761267281
"031001020102",1100,2007098.89292104,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1983.8607019388
"031001020102",1200,237239.410955151,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",234.492653055112
"031001020102",1900,812179.495000871,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",802.776080807751
"031001020102",2100,7742275.59809505,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",7652.6355312203
"031001020102",2200,211000.965943537,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",208.557996759843
"031001020102",2400,77512,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",76.614566064
"031001020102",3200,2779787.28225585,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2747.6029051019
"031001020102",4100,3111660.57109482,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",3075.63376500268
"031001020102",4400,50933,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",50.343297726
"031001020102",5200,108271.368266779,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",107.017802364987
"031001020102",6110,2137168.54276897,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2112.42440538079
"031001020102",6410,2613382.03846733,"Oglegy Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2583.12430122596
"031001020103",1100,77882.9869033415,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",76.9812576809746
"031001020103",1200,86668,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",85.664557896
