"id","value","count","huc12_name","filename","land_policy","accretion","slr_scenario","yr","acres"
"031001010907",1900,8006.95292734334,"Lettuce Lake-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",7.91424842635056
"031001010907",3200,11232.6173696741,"Lettuce Lake-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",11.1025661257681
"031001010907",4100,3701.32471139521,"Lettuce Lake-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",3.65847077388668
"031001010907",5200,774.925107090734,"Lettuce Lake-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",0.765953024200837
"031001010907",6110,1542.09632560611,"Lettuce Lake-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1.52424193434824
"031001010907",6410,2125,"Lettuce Lake-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",2.10039675
"031001011106",1200,61017.9660891353,"Shell Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",60.3115000777553
"031001011106",1900,298697.468060371,"Shell Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",295.239148775168
"031001011106",4100,5369.53860209626,"Shell Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",5.30737008416119
"031001011106",5200,8025.59938517492,"Shell Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",7.93267899549337
"031001011106",6410,14976,"Shell Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",14.802607872
"031001011107",0,284.789381086826,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",0.281492089632603
"031001011107",1100,2383203.39763949,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",2355.61066870162
"031001011107",1200,14650190.2901707,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",14480.5703869911
"031001011107",1800,118028.525789576,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",116.661991517984
"031001011107",1820,152236,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",150.473411592
"031001011107",1900,1739023.36110937,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1718.88894863445
"031001011107",3200,95971.8719856324,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",94.8607096517827
"031001011107",4100,88790,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",87.76198938
"031001011107",5200,431160.797885285,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",426.168818167369
"031001011107",5400,1075646.12320038,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1063.19229238597
"031001011107",6110,38078,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",37.637132916
"031001011107",6120,1215316.00485763,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1201.24507615339
"031001011107",6410,88610,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",87.58407342
"031001011107",6420,36568.9267351311,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",36.1455317013917
"031001011107",6425,252532.009327961,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",249.608193723961
"031001011107",6510,118775.323539384,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",117.400142843445
"031001011107",6600,85072.8835723918,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",84.0879097263906
"031001011107",9113,735066.243218134,"Little Alligator Creek-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",726.555646254155
"031001011108",0,22.2106189057231,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",0.0219534643600326
"031001011108",1100,81.0721123903641,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",0.0801334594731084
"031001011108",1200,5597.4146434755,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",5.53260777673335
"031001011108",1800,2657.47421040136,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",2.62670597399333
"031001011108",5400,2298920.43897637,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",2272.3035381339
"031001011108",6120,4786.21315543668,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",4.73079837952303
"031001011108",6420,373.456683054566,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",0.369132801578161
"031001011108",6425,1201.04618145709,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1.18714046876818
"031001011108",6510,582.461969366123,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",0.575718224684802
"031001011108",6600,1319.82622197247,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1.30454527397447
"031001011108",9113,484580.243842065,"Alligator Bay-Peace River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",478.969773778862
"031001020101",1100,2642808.23340274,"Wingate Creek-Myakka River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",2612.2097996764
"031001020101",1200,3690755.89195968,"Wingate Creek-Myakka River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",3648.02432024257
"031001020101",1800,138475,"Wingate Creek-Myakka River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",136.87173645
"031001020101",1900,1091147.97652265,"Wingate Creek-Myakka River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",1078.51466525047
"031001020101",2100,4073138.2745912,"Wingate Creek-Myakka River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",4025.97947964798
"031001020101",2200,91536,"Wingate Creek-Myakka River","tbcmp_AM_HA_IntHigh_2080","AM","HA","IntHigh","2080",90.476196192
