"id","value","count","acres","land_policy","accretion","slr_scenario","yr"
"Manatee",2200,11637081.0093756,11502.346885449,"baseline","baseline","baseline",2025
"Manatee",2400,2813242,2780.670284124,"baseline","baseline","baseline",2025
"Manatee",3200,48370988.272896,47810.9489706724,"baseline","baseline","baseline",2025
"Manatee",4100,37689318.1253553,37252.9512000999,"baseline","baseline","baseline",2025
"Manatee",4400,3206983.49775464,3169.85304281764,"baseline","baseline","baseline",2025
"Manatee",5200,17356635.4476194,17155.6803224069,"baseline","baseline","baseline",2025
"Manatee",5400,117872667.738407,116507.937991332,"baseline","baseline","baseline",2025
"Manatee",6110,39478648.6240776,39021.5648303081,"baseline","baseline","baseline",2025
"Manatee",6120,5050220.23614648,4991.74878625238,"baseline","baseline","baseline",2025
"Manatee",6410,33022664.7215175,32640.3283093718,"baseline","baseline","baseline",2025
"Manatee",6420,1721789.8062717,1701.85492389469,"baseline","baseline","baseline",2025
"Manatee",6510,6048806.96833433,5978.77388125495,"baseline","baseline","baseline",2025
"Manatee",6600,164112,162.211911264,"baseline","baseline","baseline",2025
"Manatee",7100,14072,13.909074384,"baseline","baseline","baseline",2025
"Manatee",9113,15149843.3189483,14974.4384330015,"baseline","baseline","baseline",2025
"Pasco",1100,55235550.1854702,54596.0329854229,"baseline","baseline","baseline",2025
"Pasco",1200,98893039.5322966,97748.0559205917,"baseline","baseline","baseline",2025
"Pasco",1800,2283371.18998924,2256.93431835155,"baseline","baseline","baseline",2025
"Pasco",1820,3003427.31661564,2968.65363514386,"baseline","baseline","baseline",2025
"Pasco",1900,22687348.758633,22424.6746347055,"baseline","baseline","baseline",2025
"Pasco",2100,80104039.0081332,79176.594444497,"baseline","baseline","baseline",2025
"Pasco",2200,1292548.995649,1277.58386337737,"baseline","baseline","baseline",2025
"Pasco",2400,582572.764420967,575.827736954501,"baseline","baseline","baseline",2025
"Pasco",3200,13839445.6592234,13679.2125573809,"baseline","baseline","baseline",2025
"Pasco",4100,63532195.0789529,62796.6193243288,"baseline","baseline","baseline",2025
"Pasco",4400,18555755.7638736,18340.9172236394,"baseline","baseline","baseline",2025
"Pasco",5200,15924690.5908034,15740.3145231431,"baseline","baseline","baseline",2025
"Pasco",5400,53196396.416094,52580.4885383885,"baseline","baseline","baseline",2025
"Pasco",6110,72079059.6114365,71244.5282592553,"baseline","baseline","baseline",2025
"Pasco",6120,1028684.63877863,1016.77452803085,"baseline","baseline","baseline",2025
"Pasco",6410,39941326.8312377,39478.8861491856,"baseline","baseline","baseline",2025
"Pasco",6420,4271810.89473071,4222.35186819152,"baseline","baseline","baseline",2025
"Pasco",6510,2048266.22603823,2024.55139967316,"baseline","baseline","baseline",2025
"Pasco",6600,365274,361.044857628,"baseline","baseline","baseline",2025
"Pasco",7100,33036.4582728534,32.6539621589703,"baseline","baseline","baseline",2025
"Pasco",9113,108046027.815043,106795.070905001,"baseline","baseline","baseline",2025
"Pinellas",1100,4634433.2048265,4580.77573718102,"baseline","baseline","baseline",2025
"Pinellas",1200,131342161.41988,129821.48187496,"baseline","baseline","baseline",2025
"Pinellas",1800,6794495.75403347,6715.82908219327,"baseline","baseline","baseline",2025
"Pinellas",1820,4412915.38296529,4361.82264866132,"baseline","baseline","baseline",2025
"Pinellas",1900,3206603.19409429,3169.47714231307,"baseline","baseline","baseline",2025
"Pinellas",2100,593801.090640014,586.926061612584,"baseline","baseline","baseline",2025
"Pinellas",2400,47940,47.38495068,"baseline","baseline","baseline",2025
"Pinellas",3200,863365.389386285,853.369344907971,"baseline","baseline","baseline",2025
"Pinellas",4100,6614562.89885081,6537.97948960791,"baseline","baseline","baseline",2025
"Pinellas",4400,231350,228.6714297,"baseline","baseline","baseline",2025
