"ID","censusTract","count"
"319","12101032013",2
"320","12101032106",1
"321","12101032107",3
"322","12101032108",3
"323","12101032401",2
"324","12101032402",1
"325","12101032601",1
"326","12101032602",5
"327","12101032901",2
"328","12101032903",1
"329","12101032904",1
"330","12101032905",1
"331","12101033005",1
"332","12101033013",1
"333","12103020101",1
"334","12103020105",2
"335","12103020106",8
"336","12103020107",2
"337","12103020108",1
"338","12103020109",5
"339","12103020202",2
"340","12103020206",1
"341","12103020207",2
"342","12103020209",2
"343","12103020301",15
"344","12103020400",3
"345","12103020500",1
"346","12103020600",3
"347","12103021501",1
"348","12103022100",1
"349","12103022200",5
"350","12103022301",2
"351","12103022302",4
"352","12103022401",9
"353","12103022402",5
"354","12103022501",6
"355","12103022503",6
"356","12103022601",2
"357","12103023300",3
"358","12103023500",3
"359","12103023700",3
"360","12103023800",4
"361","12103023900",1
"362","12103024001",27
"363","12103024002",4
"364","12103024004",430
"365","12103024005",441
"366","12103024100",3
"367","12103024301",10
"368","12103024302",2
"369","12103024403",15
"370","12103024408",11
"371","12103024409",6
"372","12103024410",10
"373","12103024411",204
"374","12103024413",7
"375","12103024505",13
"376","12103024507",3
"377","12103024508",1
"378","12103024509",1
"379","12103024511",1
"380","12103024512",3
"381","12103024801",1
"382","12103024803",4
"383","12103024901",6
"384","12103024905",2
"385","12103024906",1
"386","12103025004",2
"387","12103025007",3
"388","12103025009",3
"389","12103025011",2
"390","12103025013",3
"391","12103025017",1
"392","12103025019",8
"393","12103025106",1
"394","12103025108",1
"395","12103025109",1
"396","12103025110",6
"397","12103025120",1
"398","12103025121",1
"399","12103025122",4
"400","12103025203",3
"401","12103025205",2
"402","12103025207",3
"403","12103025209",5
"404","12103025210",6
"405","12103025211",1
"406","12103025303",1
"407","12103025401",5
"408","12103025407",9
"409","12103025412",4
"410","12103025415",1
"411","12103025416",1
"412","12103025501",2
"413","12103025505",1
"414","12103025700",10
"415","12103025900",2
"416","12103026001",4
"417","12103026002",29
"418","12103026003",3
"419","12103026004",80
"420","12103026101",3
"421","12103026102",1
"422","12103026300",2
"423","12103026400",2
"424","12103026401",4
"425","12103026703",1
"426","12103026705",2
"427","12103026804",2
"428","12103026815",2
"429","12103026816",1
"430","12103026818",2
"431","12103026908",3
"432","12103026910",1
"433","12103027105",24
"434","12103027106",100
"435","12103027108",1
"436","12103027202",100
"437","12103027204",2
"438","12103027206",1
"439","12103027207",1
"440","12103027208",3
"441","12103027209",2
"442","12103027308",5
"443","12103027309",3
"444","12103027310",2
"445","12103027319",4
"446","12103027320",24
"447","12103027321",1
"448","12103027324",4
"449","12103027325",2
"450","12103027326",2
"451","12103027327",3
"452","12103027328",1
"453","12103027401",2
"454","12103027402",1
"455","12103027403",3
"456","12103027501",82
"457","12103027502",8
"458","12103027503",33
"459","12103027603",32
"460","12103027604",11
"461","12103027605",83
"462","12103027606",50
"463","12103027701",225
"464","12103027703",22
"465","12103027704",58
"466","12103027801",48
"467","12103027802",299
"468","12103027901",172
"469","12103027903",7
"470","12103027904",4
"471","12103027905",48
"472","12103028002",90
"473","12103028003",19
"474","12103028004",21
"475","12103028005",40
"476","12103028006",13
"477","12103028102",15
"478","12103028103",2
"479","12103028104",10
"480","12103028200",1
"481","12103028402",8
"482","12103028403",16
"483","12103028500",9
"484","12103028600",4
"485","12103028602",1
"486","12105011502",1
"487","12113010825",1
