"id","value","count","basin_name","basin_huc8","basin_huc","basin_feat","filename","land_policy","accretion","slr_scenario","yr","acres"
"03100101_85300000_WEST_FORK_HORSE_CREEK",1200,3037146,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,3001.9804779305
"03100101_85300000_WEST_FORK_HORSE_CREEK",1900,265953,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,262.873669572372
"03100101_85300000_WEST_FORK_HORSE_CREEK",2100,633527,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,626.191722835148
"03100101_85300000_WEST_FORK_HORSE_CREEK",2200,202893,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,200.543808268932
"03100101_85300000_WEST_FORK_HORSE_CREEK",2400,26686,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,26.377016789464
"03100101_85300000_WEST_FORK_HORSE_CREEK",3200,280400,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,277.1533953296
"03100101_85300000_WEST_FORK_HORSE_CREEK",4100,263526,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,260.474770533624
"03100101_85300000_WEST_FORK_HORSE_CREEK",4400,46538,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,45.999160883912
"03100101_85300000_WEST_FORK_HORSE_CREEK",5200,535,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.52880551534
"03100101_85300000_WEST_FORK_HORSE_CREEK",6110,494038,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,488.317792873912
"03100101_85300000_WEST_FORK_HORSE_CREEK",6410,303954,"WEST FORK HORSE CREEK","03100101","85300000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,300.434675905896
"03100101_85360000_UNNAMED_STREAM",1100,52799,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,52.187668045676
"03100101_85360000_UNNAMED_STREAM",1900,18268,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,18.056484400432
"03100101_85360000_UNNAMED_STREAM",2100,449951,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,444.741253145324
"03100101_85360000_UNNAMED_STREAM",3200,3303,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,3.264756293772
"03100101_85360000_UNNAMED_STREAM",4100,184902,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,182.761116630648
"03100101_85360000_UNNAMED_STREAM",4400,5146,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,5.086417162504
"03100101_85360000_UNNAMED_STREAM",5200,878,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.867834098072
"03100101_85360000_UNNAMED_STREAM",6110,96070,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,94.95765581068
"03100101_85360000_UNNAMED_STREAM",6410,22489,"UNNAMED STREAM","03100101","85360000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,22.228611653236
"03100101_85400000_ELDER_CREEK",1200,14468,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,14.300482609232
"03100101_85400000_ELDER_CREEK",1900,368702,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,364.432992741848
"03100101_85400000_ELDER_CREEK",2100,162818,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,160.932815694632
"03100101_85400000_ELDER_CREEK",2200,724365,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,715.97795723226
"03100101_85400000_ELDER_CREEK",3200,29339,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,28.999299092636
"03100101_85400000_ELDER_CREEK",4100,10934,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,10.807400943416
"03100101_85400000_ELDER_CREEK",5200,141,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.139367434884
"03100101_85400000_ELDER_CREEK",6110,157840,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,156.01245334816
"03100101_85400000_ELDER_CREEK",6410,274965,"ELDER CREEK","03100101","85400000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,271.78132434666
"03100101_85420000_CYPRESS_CREEK",2100,112888,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,111.580929001312
"03100101_85420000_CYPRESS_CREEK",2200,811,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.801609855964
"03100101_85420000_CYPRESS_CREEK",3200,8264,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,8.168315474336
"03100101_85420000_CYPRESS_CREEK",4100,38224,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,37.781424333376
"03100101_85420000_CYPRESS_CREEK",5200,178,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.175939031272
"03100101_85420000_CYPRESS_CREEK",6110,868,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.857949882832
"03100101_85420000_CYPRESS_CREEK",6410,25141,"CYPRESS CREEK","03100101","85420000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,24.849905534884
"03100101_85730000_BUZZARD_ROOST_BRANCH",1900,3953,"BUZZARD ROOST BRANCH","03100101","85730000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,3.907230284372
"03100101_85730000_BUZZARD_ROOST_BRANCH",2100,106464,"BUZZARD ROOST BRANCH","03100101","85730000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,105.231309131136
"03100101_85730000_BUZZARD_ROOST_BRANCH",3200,94561,"BUZZARD ROOST BRANCH","03100101","85730000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,93.466127730964
"03100101_85730000_BUZZARD_ROOST_BRANCH",4100,137125,"BUZZARD ROOST BRANCH","03100101","85730000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,135.5373014785
"03100101_85730000_BUZZARD_ROOST_BRANCH",6110,86862,"BUZZARD ROOST BRANCH","03100101","85730000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,85.856270417688
"03100101_85730000_BUZZARD_ROOST_BRANCH",6410,29772,"BUZZARD ROOST BRANCH","03100101","85730000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,29.427285612528
"03100101_85738000_UNNAMED_STREAM",1100,20165,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,19.93152003146
"03100101_85738000_UNNAMED_STREAM",1900,100692,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,99.526140094608
"03100101_85738000_UNNAMED_STREAM",2100,717515,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,709.20726979286
"03100101_85738000_UNNAMED_STREAM",2200,588311,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,581.499255205964
"03100101_85738000_UNNAMED_STREAM",3200,253124,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,250.193209840976
"03100101_85738000_UNNAMED_STREAM",4100,163922,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,162.024033057128
"03100101_85738000_UNNAMED_STREAM",6110,82606,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,81.649548411544
"03100101_85738000_UNNAMED_STREAM",6410,249060,"UNNAMED STREAM","03100101","85738000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,246.17626476744
"03100101_85990000_HORSE_CREEK",1200,4643861,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,4590.09216686416
"03100101_85990000_HORSE_CREEK",1900,779214,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,770.191889402136
"03100101_85990000_HORSE_CREEK",2100,264049,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,260.991714990676
"03100101_85990000_HORSE_CREEK",2200,52183,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,51.578800386892
"03100101_85990000_HORSE_CREEK",3200,500800,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,495.0014992192
"03100101_85990000_HORSE_CREEK",4100,11652,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,11.517087597648
"03100101_85990000_HORSE_CREEK",5200,167862,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,165.918413861688
"03100101_85990000_HORSE_CREEK",6110,58084,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,57.411475800016
"03100101_85990000_HORSE_CREEK",6410,490544,"HORSE CREEK","03100101","85990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,484.864248069056
"03100101_89000000_UNNAMED_DRAIN",1900,2016,"UNNAMED DRAIN","03100101","89000000","DRAIN","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,1.992657792384
"03100101_89000000_UNNAMED_DRAIN",3200,1566,"UNNAMED DRAIN","03100101","89000000","DRAIN","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,1.547868106584
"03100101_89000000_UNNAMED_DRAIN",4100,3375,"UNNAMED DRAIN","03100101","89000000","DRAIN","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,3.3359226435
"03100101_98900000_UNNAMED_CANAL",1100,921759,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,911.086435540716
"03100101_98900000_UNNAMED_CANAL",1200,1627259,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,1608.41782072272
"03100101_98900000_UNNAMED_CANAL",1800,27476,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,27.157869793424
"03100101_98900000_UNNAMED_CANAL",1900,1395361,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,1379.20484615016
"03100101_98900000_UNNAMED_CANAL",3200,48873,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,48.307125142452
"03100101_98900000_UNNAMED_CANAL",4100,53966,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,53.341155964184
"03100101_98900000_UNNAMED_CANAL",5200,106586,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,105.351896557064
"03100101_98900000_UNNAMED_CANAL",5400,404024,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,399.346017812576
"03100101_98900000_UNNAMED_CANAL",6110,10410,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,10.28946806484
"03100101_98900000_UNNAMED_CANAL",6120,276737,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,273.532807287188
"03100101_98900000_UNNAMED_CANAL",6410,96977,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,95.854154132948
"03100101_98900000_UNNAMED_CANAL",6420,82871,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,81.911480115404
"03100101_98900000_UNNAMED_CANAL",6510,24563,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,24.278597894012
"03100101_98900000_UNNAMED_CANAL",9113,24,"UNNAMED CANAL","03100101","98900000","CANAL","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,0.023722116576
"03100101_98990000_LITTLE_ALLIGATOR_CREEK",1100,1097673,"LITTLE ALLIGATOR CREEK","03100101","98990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,1084.96361951365
"03100101_98990000_LITTLE_ALLIGATOR_CREEK",1200,2956275,"LITTLE ALLIGATOR CREEK","03100101","98990000","STREAM","tbcmp_baseline_baseline_baseline_2025","baseline","baseline","baseline",2025,2922.0458408631
